asset_id,path,filename,catalog_category,catalog_subcategory,width,height,alpha_bbox_width,alpha_bbox_height,transparent_pixel_percentage,candidate_pools,file_exists,reason_included
pvg_tileset_atlas_fence1_4_0ba95570,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/Fence1_4.png,Fence1_4.png,TILESET_ATLAS,atlas_or_large_sheet,263,631,257,626,72.16,"[""A_PRIMARY_ATLAS"", ""B_HIGH_VALUE_PAINT""]",True,"A_PRIMARY_ATLAS, B_HIGH_VALUE_PAINT"
pvg_tileset_atlas_fence1_5_f3e865e8,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/Fence1_5.png,Fence1_5.png,TILESET_ATLAS,atlas_or_large_sheet,624,517,621,511,72.36,"[""A_PRIMARY_ATLAS"", ""B_HIGH_VALUE_PAINT""]",True,"A_PRIMARY_ATLAS, B_HIGH_VALUE_PAINT"
pvg_tileset_atlas_fence1_6_bbd1192b,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/Fence1_6.png,Fence1_6.png,TILESET_ATLAS,atlas_or_large_sheet,514,499,512,497,68.33,"[""A_PRIMARY_ATLAS"", ""B_HIGH_VALUE_PAINT""]",True,"A_PRIMARY_ATLAS, B_HIGH_VALUE_PAINT"
pvg_tileset_atlas_fence1_7_2b4f5cd6,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/Fence1_7.png,Fence1_7.png,TILESET_ATLAS,atlas_or_large_sheet,523,583,518,580,68.95,"[""A_PRIMARY_ATLAS"", ""B_HIGH_VALUE_PAINT""]",True,"A_PRIMARY_ATLAS, B_HIGH_VALUE_PAINT"
pvg_tileset_atlas_fence1_8_905af9a2,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/Fence1_8.png,Fence1_8.png,TILESET_ATLAS,atlas_or_large_sheet,594,522,592,519,69.3,"[""A_PRIMARY_ATLAS"", ""B_HIGH_VALUE_PAINT""]",True,"A_PRIMARY_ATLAS, B_HIGH_VALUE_PAINT"
pvg_foreground_tall_fence2_1_c0a0a0bd,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/Fence2_1.png,Fence2_1.png,FOREGROUND_TALL,industrial_prop,257,210,254,204,35.42,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_foreground_tall_fence2_2_300b9f9c,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/Fence2_2.png,Fence2_2.png,FOREGROUND_TALL,industrial_prop,115,335,106,333,58.91,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_foreground_tall_fence2_3_7347c348,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/Fence2_3.png,Fence2_3.png,FOREGROUND_TALL,industrial_prop,252,237,247,227,36.92,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_foreground_tall_fence2_4_11e87940,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/Fence2_4.png,Fence2_4.png,FOREGROUND_TALL,industrial_prop,103,332,99,326,61.03,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_foreground_tall_fence2_5_86afa643,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/Fence2_5.png,Fence2_5.png,FOREGROUND_TALL,industrial_prop,227,300,221,295,61.6,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
